, Emotion, Text, Clean_text
1, senang, Pelayanannya sangat memuaskan., pelayanannya sangat memuaskan
2, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
3, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
4, kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
5, kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
6, senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
7, senang, Saya merasa senang dengan pelayanan yang diberikan., saya merasa senang dengan pelayanan diberikan
8, biasa saja, Pelayanannya biasa sajatidak ada yang istimewa., pelayanannya biasa saja tidak ada yang istimewa
9, senang, Proses pendaftaran sangat mudah., proses pendaftaran sangat mudah
10, kesal, Sistem administrasinya sangat kacau., sistem administrasi sangat kacau
11, puas, Pelayanannya cepat dan efisien., pelayanan cepat efisien
12, senang, Pelayanannya sangat membantu., pelayanan sangat membantu
13, puas, Proses registrasinya mudah dan lancar., proses registrasi mudah lancar
14, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
15, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
16, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
17, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
18, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
19, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
20, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
21, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
22, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
23, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
24, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
25, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
26, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
27, kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
28, kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
29, senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
30, senang, Saya merasa senang dengan pelayanan yang diberikan., saya merasa senang dengan pelayanan diberikan
31, biasa saja, Pelayanannya biasa saja tidak ada yang istimewa., pelayanannya biasa saja tidak ada yang istimewa
32, senang, Proses pendaftaran sangat mudah., proses pendaftaran sangat mudah
33, kesal, Sistem administrasinya sangat kacau., sistem administrasi sangat kacau
34, puas, Pelayanannya cepat dan efisien., pelayanan cepat efisien
35, senang, Pelayanannya sangat membantu., pelayanan sangat membantu
36, puas, Proses registrasinya mudah dan lancar., proses registrasi mudah lancar
37, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
38, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
39, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
40, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
41, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
42, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
43, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
44, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
45, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
46, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
47, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
48, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
49, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
50, kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
51, kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
52, senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
53, senang, Saya merasa senang dengan pelayanan yang diberikan., saya merasa senang dengan pelayanan diberikan
54, biasa saja, Pelayanannya biasa saja tidak ada yang istimewa., pelayanannya biasa saja tidak ada yang istimewa
55, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
56, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
57, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
58, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
59, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
60, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
61, kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
62, kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
63, senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
64, senang, Saya merasa senang dengan pelayanan yang diberikan., saya merasa senang dengan pelayanan diberikan
65, biasa saja, Pelayanannya biasa saja tidak ada yang istimewa., pelayanannya biasa saja tidak ada yang istimewa
66, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
67, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
68, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
69, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
70, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
71, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
72, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
73, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
74, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
75, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
76, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
77, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
78, kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
79, kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
80, senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
81, senang, Saya merasa senang dengan pelayanan yang diberikan., saya merasa senang dengan pelayanan diberikan
82, biasa saja, Pelayanannya biasa saja tidak ada yang istimewa., pelayanannya biasa saja tidak ada yang istimewa
83, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
84, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
85, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
86, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
87, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
88, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
89, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
90, kecewa, Saya sangat kecewa dengan pelayanannya., saya sangat kecewa dengan pelayanannya
91, sedih, Saya merasa sedih dengan pelayanannya., saya merasa sedih dengan pelayanannya
92, senang, Pelayanannya sangat membantu., pelayanannya sangat membantu
93, puas, Proses administrasinya cepat dan mudah., proses administrasi cepat mudah
94, biasa saja, Tidak ada yang istimewa dari pelayanannya., tidak ada yang istimewa pelayanannya
95, kesal, Pelayanannya sangat lambat dan tidak responsif., pelayanannya sangat lambat tidak responsif
96, kecewa, Kualitas layanan menurun drastis., kualitas layanan menurun drastis
97, senang, Pelayanan ramah dan membantu., pelayanan ramah membantu
98, senang, Saya merasa senang dengan pelayanan yang diberikan., saya merasa senang dengan pelayanan diberikan
99, biasa saja, Pelayanannya biasa saja tidak ada yang istimewa., pelayanannya biasa saja tidak ada yang istimewa
100, kesal, Pelayanannya sangat lambat dan tidak profesional., pelayanannya sangat lambat tidak profesional
